onset	duration	trial_type	response_time
31.124	9.6	low	5.38
44.322	9.6	low	5.605
56.32	9.6	n/a	5.59
69.518	9.6	low	6.06099999999999
81.516	9.6	n/a	5.31099999999999
92.314	9.6	high	6.23500000000001
103.112	9.6	low	5.497
116.31	9.6	low	5.167
128.325	9.6	n/a	6.93000000000001
139.123	9.6	low	5.703
151.121	9.6	n/a	5.464
164.319	9.6	n/a	5.601
175.118	9.6	low	n/a
187.116	9.6	low	5.631
200.314	9.6	low	5.447
212.312	9.6	low	5.154
223.11	9.6	n/a	6.29299999999998
233.925	9.6	low	5.357
277.118	9.6	n/a	5.84000000000003
287.917	9.6	low	5.31
299.915	9.6	low	5.50899999999996
311.913	9.6	low	5.42000000000002
325.111	9.6	low	5.61599999999999
337.126	9.6	n/a	5.41900000000004
347.924	9.6	low	5.06800000000004
361.122	9.6	n/a	5.36500000000001
371.92	9.6	high	5.56700000000001
385.118	9.6	low	5.51299999999998
395.916	9.6	low	5.83199999999999
407.914	9.6	low	6.161
421.112	9.6	low	5.24599999999998
434.31	9.6	n/a	5.464
445.125	9.6	n/a	5.358
457.123	9.6	n/a	5.30000000000001
467.922	9.6	high	6.20399999999995
479.92	9.6	low	5.97999999999996
523.113	9.6	n/a	6.29399999999998
536.311	9.6	low	5.55999999999995
548.326	9.6	low	5.80599999999993
560.324	9.6	n/a	5.54700000000003
572.322	9.6	low	5.28300000000002
583.12	9.6	low	5.28599999999994
593.919	9.6	n/a	5.35699999999997
604.717	9.6	low	5.37200000000007
617.915	9.6	high	5.39200000000005
631.113	9.6	high	5.30499999999995
644.311	9.6	low	5.64299999999992
656.325	9.6	low	5.60299999999995
667.124	9.6	n/a	6.029
679.122	9.6	n/a	5.28000000000009
692.32	9.6	low	5.4849999999999
703.118	9.6	low	5.13499999999999
716.316	9.6	n/a	5.40999999999997
727.114	9.6	low	5.601
